entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,entry_profile,entry_choppy_regime,symbol
81,97,16,0.58,278.09,signal,2020-05-28,0.8603773584905657,0.035992217898832786,5.733005733005712,1.0309294822954718,1.0,3.0,-0.10516322358772938,0.4,3,2020-05-06,AMV,0.26775,strong,False,False,False,7.08,-0.58,9.39,balanced,False,AMV
103,118,15,-7.95,153.9,signal,2020-06-26,1.0,0.0,25.539568345323744,1.3648733911034083,4.0,3.0,0.10355646559896087,0.26666666666666666,3,2020-06-05,AMV,0.4,moderate,False,False,False,13.81,0.0,11.59,balanced,False,AMV
161,184,23,5.02,111.66,signal,2020-09-29,0.8546511627906977,0.02507522567703109,0.13714226569372556,0.9474562909004145,1.0,3.0,0.08159110484405865,0.35,3,2020-08-26,AMV,0.5,moderate,False,False,False,0.0,0.0,5.72,balanced,False,AMV
237,251,14,25.36,,end,2020-12-31,0.7073170731707322,0.034582132564841446,-17.492028372486445,1.295741581034498,1.0,2.0,0.01783884213094039,0.7666666666666667,4,2020-12-11,AMV,0.7124999999999999,strong,False,False,False,0.68,-2.8,2.16,balanced,False,AMV
50,70,20,7.53,214.63,signal,2020-06-17,0.9166666666666667,0.03039073806078147,14.69198312236287,1.2100469424848652,1.0,2.0,-0.15199311755532943,1.0,4,2020-04-20,ANV,0.31875,moderate,False,False,False,5.66,-0.72,13.96,balanced,False,ANV
120,143,23,8.15,114.87,signal,2020-09-29,0.8534482758620691,0.02387640449438201,5.630387931034477,1.3973680781758957,3.0,3.0,-0.02739029060169155,0.38333333333333336,4,2020-08-26,ANV,0.5,moderate,False,False,False,4.55,0.0,6.78,balanced,False,ANV
145,163,18,0.0,105.12,signal,2020-10-27,0.7898089171974523,0.04089219330855019,-7.647600262984881,0.8835915704290167,1.0,3.0,-0.004184778201913881,0.38333333333333336,2,2020-10-01,ANV,0.5,strong,False,False,False,2.54,-1.34,3.03,balanced,False,ANV
169,193,24,5.8,163.12,signal,2020-12-08,1.0,0.0,22.80534351145041,0.8973593735077834,4.0,4.0,-0.059028048220605575,0.26666666666666666,2,2020-11-04,ANV,0.4,strong,False,False,False,14.29,0.0,7.84,balanced,False,ANV
194,210,16,9.66,,end,2020-12-31,0.8791208791208798,0.011190233977619474,12.40109470705417,1.296098725669457,3.0,2.0,-0.023659542712182978,0.03333333333333333,3,2020-12-09,ANV,0.9,strong,False,False,False,4.57,-1.11,3.6,balanced,False,ANV
22,28,6,-11.76,273.89,signal_hard_cap,2020-04-16,0.6049382716049387,0.10457516339869266,43.40277777777779,1.6677862392338134,3.0,3.0,-0.11252756462709865,0.7,5,2020-04-08,APC,0.26775,weak,False,False,True,17.69,-24.26,-12.02,balanced,False,APC
29,59,30,20.83,298.5,signal,2020-06-02,0.49206349206349226,0.11111111111111108,0.9170946441672783,1.4799801985964298,1.0,1.0,-0.04875341620133938,0.5833333333333334,4,2020-04-17,APC,0.26775,weak,False,False,True,-4.0,-27.82,-7.78,balanced,False,APC
61,79,18,-1.1,124.82,signal,2020-07-28,0.785714285714285,0.016483516483516522,9.999999999999979,1.01418224400399,2.0,1.0,-0.01974094486145242,0.05,1,2020-06-04,APC,0.5,strong,False,False,False,1.11,0.0,2.3,balanced,False,APC
99,133,34,8.63,62.49,signal,2020-10-14,0.9076923076923075,0.015228426395939123,2.058823529411768,1.2312741634912248,5.0,3.0,-0.05672999415037504,0.11666666666666667,3,2020-08-25,APC,0.675,strong,False,False,False,5.91,0.0,6.29,balanced,False,APC
167,189,22,3.4,,end,2020-12-31,0.8947368421052632,0.02127659574468085,38.706140350877114,2.637307981244981,3.0,3.0,-0.13106417982770696,1.0,4,2020-12-01,APC,0.4,strong,False,False,False,16.34,0.0,14.75,balanced,False,APC
