entry_date,exit_date,holding_days,pnl_pct,entry_price,exit_price,exit_reason,symbol
2026-02-11,2026-03-02,8,-5.16,29.0,27.65,rule_sell,MBB
2020-02-14,2020-02-24,6,-8.22,11.01,10.16,rule_sell,TCB
2020-04-10,2020-06-11,42,24.28,7.91,9.87,rule_sell,TCB
2020-07-09,2020-07-24,11,-7.47,9.9,9.21,rule_sell,TCB
2020-08-12,2020-10-07,39,10.49,9.28,10.3,rule_sell,TCB
2020-10-19,2020-10-28,7,-3.08,10.86,10.58,rule_sell,TCB
2020-11-13,2021-01-27,52,45.26,10.86,15.83,rule_sell,TCB
2021-02-17,2021-03-24,25,1.82,18.14,18.56,rule_sell,TCB
2021-04-06,2021-04-15,7,-3.56,19.93,19.32,rule_sell,TCB
2021-05-04,2021-06-08,25,13.55,20.5,23.38,rule_sell,TCB
2021-07-01,2021-07-14,9,-4.83,25.18,24.09,rule_sell,TCB
2021-08-03,2021-08-23,14,-6.38,24.47,23.03,rule_sell,TCB
2021-09-17,2021-10-04,11,-3.31,23.5,22.84,rule_sell,TCB
2021-10-06,2021-10-25,13,0.68,23.76,24.04,rule_sell,TCB
2021-11-24,2021-11-30,4,-7.17,26.22,24.47,rule_sell,TCB
2021-12-31,2022-01-19,12,-2.79,23.62,23.08,rule_sell,TCB
2022-01-21,2022-02-21,16,2.94,23.52,24.33,rule_sell,TCB
2022-03-22,2022-04-12,14,-4.32,23.57,22.67,rule_sell,TCB
2022-06-03,2022-06-20,11,-9.97,17.22,15.59,rule_sell,TCB
2022-06-28,2022-08-29,44,5.09,17.34,18.31,rule_sell,TCB
2022-11-01,2022-12-23,38,7.09,12.12,13.04,rule_sell,TCB
2023-01-12,2023-02-03,11,-3.24,13.16,12.8,rule_sell,TCB
2023-02-20,2023-02-24,4,-5.24,13.51,12.87,rule_sell,TCB
2023-03-09,2023-03-14,3,-5.91,13.13,12.42,rule_sell,TCB
2023-03-28,2023-04-20,17,4.27,13.01,13.63,rule_sell,TCB
2023-05-22,2023-06-30,29,5.54,14.41,15.28,rule_sell,TCB
2023-07-25,2023-08-18,18,-3.53,15.83,15.35,rule_sell,TCB
2023-08-31,2023-09-18,10,-1.67,16.3,16.11,rule_sell,TCB
2023-11-06,2023-11-27,15,-5.96,14.64,13.84,rule_sell,TCB
2023-12-07,2024-01-31,38,11.51,14.57,16.32,rule_sell,TCB
2024-02-07,2024-03-18,23,6.99,17.62,18.94,rule_sell,TCB
2024-03-26,2024-04-15,14,-3.91,21.71,20.97,rule_sell,TCB
2024-05-03,2024-05-22,13,-1.25,22.77,22.6,rule_sell,TCB
2024-06-07,2024-06-24,11,-2.97,23.92,23.33,rule_sell,TCB
2024-07-22,2024-07-25,3,-4.32,23.04,22.16,rule_sell,TCB
2024-07-31,2024-08-05,3,-4.61,22.65,21.72,rule_sell,TCB
2024-08-22,2024-09-13,14,-1.14,21.77,21.63,rule_sell,TCB
2024-09-18,2024-10-21,23,4.5,22.41,23.53,rule_sell,TCB
2024-11-22,2024-12-20,20,0.81,22.89,23.19,rule_sell,TCB
2024-12-27,2025-01-03,4,-4.59,23.97,22.99,rule_sell,TCB
2025-01-23,2025-04-03,45,4.97,23.97,25.28,rule_sell,TCB
2025-04-29,2025-06-06,25,14.72,25.62,29.52,rule_sell,TCB
2025-06-18,2025-07-29,29,2.88,31.95,33.03,rule_sell,TCB
2025-08-06,2025-09-08,21,-1.01,37.21,37.02,rule_sell,TCB
2025-10-06,2025-10-20,10,-4.43,39.4,37.85,rule_sell,TCB
2025-11-18,2025-12-12,18,-9.98,35.35,32.0,rule_sell,TCB
2025-12-22,2026-01-26,23,0.78,35.2,35.65,rule_sell,TCB
2026-02-13,2026-03-03,7,-5.72,35.45,33.6,rule_sell,TCB
2020-02-27,2020-03-09,7,-10.19,65.55,59.2,rule_sell,VNM
2020-04-03,2020-06-15,49,17.4,57.98,68.36,rule_sell,VNM
2020-07-16,2020-07-22,4,-3.39,72.65,70.55,rule_sell,VNM
2020-08-06,2020-10-20,52,12.28,70.98,80.05,rule_sell,VNM
2020-11-20,2020-11-30,6,-2.94,83.59,81.55,rule_sell,VNM
2020-12-10,2020-12-22,8,-2.37,84.42,82.84,rule_sell,VNM
2021-01-07,2021-01-19,8,-2.95,83.98,81.92,rule_sell,VNM
2021-02-05,2021-02-25,9,-5.07,83.37,79.56,rule_sell,VNM
2021-04-01,2021-04-16,11,-4.56,76.83,73.71,rule_sell,VNM
2021-04-23,2021-04-26,1,-4.03,75.69,73.02,rule_sell,VNM
2021-05-26,2021-06-24,21,-1.81,69.22,68.31,rule_sell,VNM
2021-07-01,2021-07-05,2,-2.36,70.0,68.7,rule_sell,VNM
2021-07-23,2021-08-23,21,-2.32,67.46,66.23,rule_sell,VNM
2021-09-13,2021-10-18,25,2.47,68.32,70.35,rule_sell,VNM
2021-12-31,2022-01-12,7,-2.72,67.69,66.19,rule_sell,VNM
2022-01-14,2022-01-17,1,-2.62,67.46,66.03,rule_sell,VNM
2022-02-07,2022-02-16,7,-4.21,66.51,64.04,rule_sell,VNM
2022-03-31,2022-04-14,9,-6.2,64.44,60.77,rule_sell,VNM
2022-05-25,2022-06-13,13,-8.15,57.27,52.89,rule_sell,VNM
2022-06-21,2022-07-26,25,0.59,58.7,59.34,rule_sell,VNM
2022-08-19,2022-09-14,16,-0.65,61.07,60.98,rule_sell,VNM
2022-10-13,2022-11-15,23,3.84,60.82,63.46,rule_sell,VNM
2022-11-24,2022-12-09,11,-1.98,66.92,65.93,rule_sell,VNM
2023-01-03,2023-01-31,15,-2.28,65.85,64.68,rule_sell,VNM
2023-02-20,2023-02-24,4,-4.11,65.01,62.66,rule_sell,VNM
2023-03-01,2023-03-20,13,-3.88,64.51,62.33,rule_sell,VNM
2023-06-12,2023-08-15,46,10.28,56.96,63.1,rule_sell,VNM
2023-08-28,2023-09-21,16,-0.37,67.52,67.61,rule_sell,VNM
2023-11-08,2023-11-27,13,-5.12,61.89,59.03,rule_sell,VNM
2023-12-08,2023-12-19,7,-3.39,59.81,58.08,rule_sell,VNM
2023-12-28,2024-01-12,10,-2.41,59.82,58.68,rule_sell,VNM
2024-01-22,2024-01-25,3,-2.55,59.64,58.42,rule_sell,VNM
2024-02-05,2024-03-08,19,2.45,59.38,61.13,rule_sell,VNM
2024-05-07,2024-05-30,17,-3.87,60.15,58.12,rule_sell,VNM
2024-06-05,2024-06-14,7,-3.85,60.59,58.56,rule_sell,VNM
2024-07-04,2024-07-16,8,-0.96,58.74,58.47,rule_sell,VNM
2024-07-29,2024-08-29,23,8.89,59.44,65.02,rule_sell,VNM
2024-10-24,2024-10-30,4,-3.57,62.61,60.69,rule_sell,VNM
2024-12-11,2025-01-02,15,-1.44,58.76,58.21,rule_sell,VNM
2025-01-24,2025-02-04,2,-3.71,57.38,55.54,rule_sell,VNM
2025-02-21,2025-03-13,14,0.49,56.64,57.2,rule_sell,VNM
2025-04-25,2025-05-28,20,-2.45,53.78,52.73,rule_sell,VNM
2025-06-04,2025-08-01,42,4.95,54.35,57.31,rule_sell,VNM
2025-09-03,2025-09-10,5,-3.26,58.74,57.12,rule_sell,VNM
2025-09-12,2025-09-25,9,-3.2,60.37,58.74,rule_sell,VNM
2025-10-08,2025-10-20,8,-9.68,60.56,55.0,rule_sell,VNM
2025-11-11,2025-12-11,22,3.91,58.9,61.5,rule_sell,VNM
2026-01-13,2026-02-10,20,7.56,63.3,68.4,rule_sell,VNM
2020-02-18,2020-02-24,4,-4.49,7.01,6.73,rule_sell,DGC
2020-04-09,2020-06-24,52,70.18,6.31,10.77,rule_sell,DGC
2020-08-14,2020-08-18,2,-1.91,10.66,10.51,rule_sell,DGC
2020-08-19,2020-10-16,41,23.75,10.93,13.58,rule_sell,DGC
2020-11-06,2021-01-19,51,23.09,13.86,17.13,rule_sell,DGC
2021-01-25,2021-01-27,2,-4.84,18.44,17.64,rule_sell,DGC
2021-02-08,2021-03-22,25,26.81,18.38,23.4,rule_sell,DGC
2021-05-04,2021-07-06,45,19.78,25.15,30.25,rule_sell,DGC
