symbol,entry_idx,exit_idx,entry_price,exit_price,holding_days,trade_return_pct,max_dd_in_trade_pct,max_profit_in_trade_pct,sub_waves,is_win,entry_wave_pos,entry_dist_from_peak_pct,entry_recent_5d_ret_pct,exit_wave_pos,after_exit_max_up_pct,after_exit_max_down_pct,after_exit_5d_return_pct,after_exit_10d_return_pct,missed_profit_pct,gave_back_pct
AAS,908,910,9.0,8.5,2,-5.56,-5.56,0.0,1,False,1.0,0.0,5.88,0.17,0.0,-4.71,-1.18,-4.71,5.56,5.56
AAS,985,987,7.7,7.5,2,-2.6,-2.6,0.0,1,False,1.0,0.0,6.94,0.71,-1.33,-5.33,-2.67,-4.0,2.6,2.6
AAS,1023,1031,7.1,8.4,8,18.31,0.0,25.35,2,True,1.0,0.0,12.7,0.83,3.57,-4.76,-1.19,-4.76,7.04,7.04
AAS,1038,1039,8.7,8.5,1,-2.3,-2.3,0.0,1,False,0.92,-2.25,3.57,0.85,2.35,-5.88,-2.35,1.18,2.3,2.3
AAS,1046,1048,8.7,8.5,2,-2.3,-2.3,0.0,1,False,0.78,-2.25,8.75,0.56,7.06,0.0,1.18,2.35,2.3,2.3
AAS,1049,1058,8.6,8.7,9,1.16,-1.16,5.81,5,True,0.75,-2.27,3.61,0.64,5.75,0.0,2.3,5.75,4.65,4.65
AAS,1060,1066,8.8,8.9,6,1.14,0.0,3.41,4,True,0.73,-3.3,-3.3,0.67,3.37,-3.37,0.0,-2.25,2.27,2.27
AAS,1068,1070,9.2,9.0,2,-2.17,-2.17,0.0,1,False,1.0,0.0,3.37,0.71,-1.11,-4.44,-3.33,-3.33,2.17,2.17
AAS,1113,1128,8.0,8.9,15,11.25,0.0,17.5,8,True,1.0,0.0,5.26,0.72,0.0,-2.25,-1.12,-1.12,6.25,6.25
AAS,1146,1148,9.0,8.8,2,-2.22,-2.22,0.0,1,False,0.43,-4.26,2.27,0.33,9.09,0.0,4.55,7.95,2.22,2.22
AAS,1150,1187,9.0,18.2,37,102.22,0.0,155.56,14,True,1.0,0.0,2.27,0.56,-4.4,-36.26,-18.13,-36.26,53.33,53.33
AAT,180,183,12.12,11.85,3,-2.23,-2.23,0.0,1,False,1.0,0.0,3.41,0.82,7.43,-0.34,4.81,6.67,2.23,2.23
AAT,186,194,12.25,12.29,8,0.33,0.0,3.92,2,True,1.0,0.0,1.07,0.58,4.96,0.0,4.96,0.0,3.59,3.59
AAT,196,202,12.81,12.55,6,-2.03,-2.03,0.7,3,False,1.0,0.0,1.03,0.68,-1.75,-6.93,-6.93,-6.22,2.73,2.73
AAT,225,238,12.03,12.81,13,6.48,0.0,9.81,6,True,1.0,0.0,8.67,0.81,2.73,-9.13,-0.31,-9.13,3.33,3.33
AAT,244,246,13.16,12.86,2,-2.28,-2.28,0.0,1,False,0.97,-0.38,2.73,0.58,-5.13,-15.94,-8.48,-15.94,2.28,2.28
AAT,259,280,9.86,11.49,21,16.53,0.0,26.98,8,True,0.0,-25.08,-18.04,0.56,-0.78,-10.18,-0.78,-8.62,10.45,10.45
AAT,368,374,4.91,4.91,6,0.0,-0.41,5.09,3,False,1.0,0.0,6.97,0.64,-1.02,-8.15,-1.22,-6.52,5.09,5.09
AAT,439,444,4.86,4.79,5,-1.44,-1.85,0.0,3,False,1.0,0.0,7.76,0.81,16.91,-3.13,-1.88,16.91,1.44,1.44
AAT,452,473,5.13,6.17,21,20.27,0.0,28.46,10,True,1.0,0.0,10.32,0.69,-1.62,-8.75,-3.73,-4.54,8.19,8.19
AAT,492,498,6.29,6.11,6,-2.86,-2.86,1.75,5,False,1.0,0.0,3.8,0.62,5.56,0.0,4.75,3.6,4.61,4.61
AAT,499,500,6.25,6.11,1,-2.24,-2.24,0.0,1,False,0.81,-2.34,0.16,0.62,5.56,-1.31,2.29,-1.31,2.24,2.24
AAT,503,505,6.4,6.25,2,-2.34,-2.34,0.78,2,False,1.0,0.0,4.75,0.64,1.28,-13.92,-3.52,-12.96,3.13,3.13
