entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,entry_trend,quick_reentry,breakout_entry,vshape_entry,entry_ret_5d,entry_drop20d,entry_dist_sma20,symbol,model
148,198,50,13.29,119.27,signal,2020-10-21,0.7866972477064222,0.026274897584404565,6.6353567747268585,0.9524480727692402,1.0,3.0,-0.04530775738357266,0.7166666666666667,3,2020-08-10,VNM,0.48999999999999994,moderate,False,False,False,4.84,-2.56,1.8,VNM,v16
201,215,14,-2.81,42.1,signal,2020-11-13,0.7203539823008855,0.018969864329451292,30.310547112991003,1.1129080678954686,2.0,2.0,0.09078678479109352,0.05,4,2020-10-26,VNM,0.7,strong,False,False,False,2.6,0.0,2.55,VNM,v16
220,229,9,-1.27,0.0,signal,2020-12-03,0.7771639042357283,0.014475415719583606,40.259697295509014,1.4068582881076606,4.0,3.0,0.04978507196309889,0.31666666666666665,3,2020-11-20,VNM,1.0,strong,False,False,False,3.26,0.0,2.39,VNM,v16
236,240,4,-2.64,0.0,stop_loss,2020-12-18,0.9269230769230776,0.004446004446004393,5.321199245243555,1.204096972163814,3.0,4.0,0.10253107656029667,0.7,3,2020-12-14,VNM,1.0,strong,False,False,False,3.09,0.0,3.07,VNM,v16
2,13,11,9.81,133.45,trailing_stop,2021-01-21,0.8781512605042017,0.05576923076923077,0.009033423667574425,1.3673134364004025,2.0,3.0,7.253009576581562,1.0,4,2021-01-06,AAS,0.48999999999999994,weak,False,False,False,0.0,0.0,0.0,AAS,v16
32,46,14,9.83,113.54,signal,2021-03-16,0.5294117647058824,0.2969432314410481,44.10686897779027,0.7449090056224629,1.0,2.0,9.865918196134245,0.48333333333333334,4,2021-02-24,AAS,0.5,weak,False,False,True,6.51,-19.79,5.03,AAS,v16
68,77,9,-14.73,97.22,signal,2021-04-29,0.7593582887700534,0.07798960138648184,2.619047619047592,1.0687833237865678,0.0,1.0,0.13647700519101638,0.5666666666666667,2,2021-04-15,AAS,0.5,strong,False,False,False,-2.86,-5.56,5.82,AAS,v16
95,103,8,16.7,93.56,peak_protect_dist,2021-06-08,0.6017699115044246,0.08840864440078589,7.823129251700664,1.3489156332243177,3.0,3.0,0.31170933295677894,0.08333333333333333,5,2021-05-27,AAS,0.7,weak,False,False,False,3.46,-5.21,2.04,AAS,v16
156,188,32,20.0,125.91,signal,2021-10-11,0.568548387096774,0.1304878048780488,-21.372899244946026,1.361982566646627,2.0,2.0,-0.01429321283037013,0.2,4,2021-08-24,AAS,0.5,moderate,False,False,False,-0.73,-8.79,5.45,AAS,v16
198,231,33,34.48,150.81,peak_protect_dist,2021-12-10,0.6808510638297871,0.07957559681697615,5.038267383162349,0.9572510618157928,0.0,1.0,-0.04292378251361478,0.5833333333333334,3,2021-10-25,AAS,0.5,strong,False,False,False,-1.48,-1.48,7.97,AAS,v16
31,62,31,24.63,30.04,trailing_stop,2021-04-12,0.6920731707317074,0.09249084249084247,28.68037040222471,0.827624104982474,1.0,0.0,0.03166005284294447,0.31666666666666665,3,2021-02-26,AAV,1.0,moderate,False,False,False,3.12,-7.14,2.63,AAV,v16
86,101,15,3.92,61.15,signal,2021-06-09,0.5786163522012578,0.052466718872357085,13.91640866873066,1.1693024914520496,1.0,2.0,-0.038964031394196144,0.058333333333333334,5,2021-05-19,AAV,0.7,weak,False,False,False,4.07,-2.59,1.85,AAV,v16
155,183,28,61.8,133.75,peak_protect_dist,2021-10-13,0.8558558558558558,0.05581395348837215,-7.076678240740748,1.6450535931761936,1.0,2.0,-0.11108536605517516,1.0,3,2021-08-24,AAV,0.5,strong,False,False,False,4.12,0.0,23.33,AAV,v16
235,240,5,-4.08,,end,2021-12-31,0.3909531502423262,0.15860328144720234,21.61316464814731,1.26441461259569,1.0,2.0,-0.09691608510154262,0.43333333333333335,5,2021-12-24,AAV,0.6,weak,False,False,True,0.42,-8.89,-0.85,AAV,v16
5,14,9,-6.87,44.26,signal,2021-01-26,0.7636363636363633,0.03482142857142862,2.8862389193752307,0.9777842147055037,0.0,2.0,0.07453745525986288,0.6166666666666667,3,2021-01-13,ACB,0.7,moderate,False,False,False,4.19,-0.8,0.76,ACB,v16
34,51,17,-2.91,103.09,signal,2021-03-25,0.949404761904762,0.01373182552504038,8.496071829405196,1.253582954623484,3.0,3.0,-0.01355281254000007,1.0,3,2021-03-02,ACB,0.5,strong,False,False,False,4.12,-0.72,11.74,ACB,v16
