entry_day,exit_day,holding_days,pnl_pct,max_profit_pct,exit_efficiency,future_upside_pct,exit_reason,exit_date,entry_wp,entry_dp,entry_rs,entry_vs,entry_bs,entry_hl,entry_od,entry_bb,entry_score,entry_date,entry_symbol,position_size,model
600,625,25,103.46,147.99,69.9,-8.62,signal,625,0.692307692307692,0.07547169811320761,-1.2500000000000142,1.6503749170176412,2.0,2.0,-0.032943788618466426,0.7833333333333333,4,600,AAS,0.7,xgboost
706,714,8,44.64,46.92,95.1,0.57,signal,714,0.606060606060606,0.12745098039215694,20.0,2.8774765405030616,3.0,3.0,-0.00391551507772131,0.8833333333333333,5,706,AAS,0.7,xgboost
807,812,5,-0.25,0.0,0.0,15.26,signal,812,0.47368421052631515,0.03246753246753249,1.6666666666667709,0.9845870715435933,3.0,3.0,-0.0006104276422337265,0.11666666666666667,4,807,AAT,1.0,xgboost
816,837,21,44.51,47.97,92.8,6.02,signal,837,0.7647058823529409,0.03550295857988169,42.35033259423496,2.1542422756253066,2.0,4.0,0.13825400636890273,0.7166666666666667,4,816,AAT,0.7,xgboost
855,866,11,5.78,8.52,67.9,0.78,signal,866,0.7758620689655175,0.035714285714285685,17.521367521367516,1.25642112401458,3.0,4.0,0.191422577583097,0.7,4,855,AAT,1.0,xgboost
1014,1028,14,104.91,110.95,94.6,3.45,signal,1028,0.9354838709677421,0.024096385542168586,17.874396135265705,1.3991467751028797,3.0,4.0,0.05011012388967684,1.0,4,1014,AAV,0.5,xgboost
1143,1160,17,52.46,55.85,93.9,5.88,signal,1160,0.6999999999999993,0.049180327868852576,25.49019607843134,1.4594291016531145,2.0,3.0,0.11919391197673293,0.7166666666666667,5,1143,AAV,0.7,xgboost
1167,1171,4,-7.27,0.0,0.0,-2.99,signal,1171,0.6999999999999993,0.04225352112676067,5.128205128205096,1.0235152896879884,0.0,1.0,0.005023978087419202,0.36666666666666664,3,1167,AAV,1.0,xgboost
32,37,5,42.27,45.31,93.3,1.98,signal,37,0.5477178423236508,0.11330561330561348,20.68695745364913,1.227611489362658,1.0,2.0,0.08867146501231439,0.9333333333333333,5,32,AAA,0.7,lightgbm
72,82,10,47.18,54.62,86.4,7.0,signal,82,0.713114754098361,0.07882882882882875,13.897790680138726,1.5969463610890693,1.0,2.0,0.03272843741782948,0.75,5,72,AAA,0.7,lightgbm
86,92,6,-0.25,0.0,0.0,10.37,zombie_exit,92,0.7711442786069657,0.04722792607802865,2.5187212193435613,0.8675460898717016,1.0,2.0,-0.05791212531620532,0.11666666666666667,3,86,AAA,1.0,lightgbm
93,96,3,5.06,5.32,95.1,10.82,trailing_stop,96,0.48333333333333367,0.06471816283924835,16.014316174230885,0.8681802761709196,2.0,3.0,-0.018864714417130158,0.016666666666666666,4,93,AAA,1.0,lightgbm
